Категория: Все категории

День,ave barcelona: (Мадрид)
2019-03-29,29
2019-03-30,17
2019-03-31,15
2019-04-01,63
2019-04-02,38
2019-04-03,25
2019-04-04,13
2019-04-05,13
2019-04-06,46
2019-04-07,16
2019-04-08,33
2019-04-09,50
2019-04-10,33
2019-04-11,43
2019-04-12,27
2019-04-13,18
2019-04-14,0
2019-04-15,42
2019-04-16,29
2019-04-17,32
2019-04-18,19
2019-04-19,60
2019-04-20,0
2019-04-21,84
2019-04-22,27
2019-04-23,37
2019-04-24,24
2019-04-25,37
2019-04-26,0
2019-04-27,32
2019-04-28,29
2019-04-29,50
2019-04-30,66
2019-05-01,34
2019-05-02,68
2019-05-03,48
2019-05-04,13
2019-05-05,92
2019-05-06,38
2019-05-07,48
2019-05-08,24
2019-05-09,0
2019-05-10,52
2019-05-11,16
2019-05-12,15
2019-05-13,50
2019-05-14,26
2019-05-15,85
2019-05-16,25
2019-05-17,39
2019-05-18,77
2019-05-19,30
2019-05-20,49
2019-05-21,25
2019-05-22,25
2019-05-23,38
2019-05-24,27
2019-05-25,16
2019-05-26,29
2019-05-27,35
2019-05-28,25
2019-05-29,73
2019-05-30,49
2019-05-31,40
2019-06-01,15
2019-06-02,74
2019-06-03,48
2019-06-04,61
2019-06-05,67
2019-06-06,24
2019-06-07,25
2019-06-08,33
2019-06-09,52
2019-06-10,10
2019-06-11,37
2019-06-12,50
2019-06-13,64
2019-06-14,54
2019-06-15,51
2019-06-16,16
2019-06-17,25
2019-06-18,100
2019-06-19,0
2019-06-20,39
2019-06-21,14
2019-06-22,53
2019-06-23,85
2019-06-24,53
2019-06-25,79
2019-06-26,52
2019-06-27,39
2019-06-28,57
2019-06-29,0
2019-06-30,52
2019-07-01,66
