Категория: Все категории

День,renfe barcelona: (Мадрид)
2019-03-29,0
2019-03-30,82
2019-03-31,0
2019-04-01,20
2019-04-02,0
2019-04-03,81
2019-04-04,0
2019-04-05,0
2019-04-06,0
2019-04-07,25
2019-04-08,0
2019-04-09,20
2019-04-10,17
2019-04-11,69
2019-04-12,72
2019-04-13,0
2019-04-14,29
2019-04-15,22
2019-04-16,0
2019-04-17,0
2019-04-18,61
2019-04-19,32
2019-04-20,0
2019-04-21,27
2019-04-22,43
2019-04-23,20
2019-04-24,0
2019-04-25,0
2019-04-26,43
2019-04-27,0
2019-04-28,0
2019-04-29,40
2019-04-30,0
2019-05-01,54
2019-05-02,27
2019-05-03,26
2019-05-04,20
2019-05-05,25
2019-05-06,60
2019-05-07,15
2019-05-08,38
2019-05-09,60
2019-05-10,0
2019-05-11,0
2019-05-12,74
2019-05-13,0
2019-05-14,41
2019-05-15,0
2019-05-16,40
2019-05-17,63
2019-05-18,0
2019-05-19,24
2019-05-20,20
2019-05-21,0
2019-05-22,20
2019-05-23,20
2019-05-24,0
2019-05-25,77
2019-05-26,23
2019-05-27,37
2019-05-28,0
2019-05-29,39
2019-05-30,39
2019-05-31,21
2019-06-01,0
2019-06-02,24
2019-06-03,58
2019-06-04,19
2019-06-05,53
2019-06-06,19
2019-06-07,20
2019-06-08,79
2019-06-09,83
2019-06-10,32
2019-06-11,20
2019-06-12,0
2019-06-13,0
2019-06-14,43
2019-06-15,54
2019-06-16,52
2019-06-17,20
2019-06-18,100
2019-06-19,0
2019-06-20,42
2019-06-21,22
2019-06-22,56
2019-06-23,27
2019-06-24,21
2019-06-25,42
2019-06-26,41
2019-06-27,0
2019-06-28,23
2019-06-29,0
2019-06-30,0
2019-07-01,21
